Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BL0,CO,03/03/2013 00:00,,mg m-3,R
BL0,CO,04/03/2013 00:00,,mg m-3,R
BL0,CO,05/03/2013 00:00,,mg m-3,R
BL0,CO,06/03/2013 00:00,,mg m-3,R
BL0,CO,07/03/2013 00:00,,mg m-3,R
BL0,CO,08/03/2013 00:00,,mg m-3,R
BL0,CO,09/03/2013 00:00,,mg m-3,R
BL0,CO,10/03/2013 00:00,,mg m-3,R
BL0,CO,11/03/2013 00:00,,mg m-3,R
BL0,CO,12/03/2013 00:00,,mg m-3,R
BL0,CO,13/03/2013 00:00,,mg m-3,R
BL0,CO,14/03/2013 00:00,,mg m-3,R
BL0,CO,15/03/2013 00:00,,mg m-3,R
BL0,CO,16/03/2013 00:00,,mg m-3,R
BL0,CO,17/03/2013 00:00,,mg m-3,R
BL0,CO,18/03/2013 00:00,,mg m-3,R
BL0,CO,19/03/2013 00:00,,mg m-3,R
BL0,CO,20/03/2013 00:00,,mg m-3,R
BL0,CO,21/03/2013 00:00,,mg m-3,R
BL0,CO,22/03/2013 00:00,,mg m-3,R
BL0,CO,23/03/2013 00:00,,mg m-3,R
BL0,CO,24/03/2013 00:00,,mg m-3,R
BL0,CO,25/03/2013 00:00,,mg m-3,R
BL0,CO,26/03/2013 00:00,,mg m-3,R
BL0,CO,27/03/2013 00:00,,mg m-3,R
BL0,CO,28/03/2013 00:00,,mg m-3,R
BL0,CO,29/03/2013 00:00,,mg m-3,R
BL0,CO,30/03/2013 00:00,,mg m-3,R
BL0,CO,31/03/2013 00:00,,mg m-3,R
BL0,CO,01/04/2013 00:00,,mg m-3,R
BL0,CO,02/04/2013 00:00,,mg m-3,R
BL0,CO,03/04/2013 00:00,,mg m-3,R
BL0,CO,04/04/2013 00:00,,mg m-3,R
BL0,CO,05/04/2013 00:00,,mg m-3,R
BL0,CO,06/04/2013 00:00,,mg m-3,R
BL0,CO,07/04/2013 00:00,,mg m-3,R
BL0,CO,08/04/2013 00:00,,mg m-3,R
BL0,CO,09/04/2013 00:00,,mg m-3,R
BL0,CO,10/04/2013 00:00,,mg m-3,R
BL0,CO,11/04/2013 00:00,,mg m-3,R
BL0,CO,12/04/2013 00:00,,mg m-3,R
BL0,CO,13/04/2013 00:00,,mg m-3,R
BL0,CO,14/04/2013 00:00,,mg m-3,R
BL0,CO,15/04/2013 00:00,,mg m-3,R
BL0,CO,16/04/2013 00:00,,mg m-3,R
BL0,CO,17/04/2013 00:00,,mg m-3,R
BL0,CO,18/04/2013 00:00,,mg m-3,R
BL0,CO,19/04/2013 00:00,,mg m-3,R
BL0,CO,20/04/2013 00:00,,mg m-3,R
BL0,CO,21/04/2013 00:00,,mg m-3,R
BL0,CO,22/04/2013 00:00,,mg m-3,R
BL0,CO,23/04/2013 00:00,,mg m-3,R
BL0,CO,24/04/2013 00:00,,mg m-3,R
BL0,CO,25/04/2013 00:00,,mg m-3,R
BL0,CO,26/04/2013 00:00,,mg m-3,R
BL0,CO,27/04/2013 00:00,,mg m-3,R
BL0,CO,28/04/2013 00:00,,mg m-3,R
BL0,CO,29/04/2013 00:00,,mg m-3,R
BL0,CO,30/04/2013 00:00,,mg m-3,R
BL0,CO,01/05/2013 00:00,,mg m-3,R
BL0,CO,02/05/2013 00:00,,mg m-3,R
BL0,CO,03/05/2013 00:00,,mg m-3,R
BL0,CO,04/05/2013 00:00,,mg m-3,R
