Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
HK6,NO,13/12/2012 00:00,138.7,ug m-3,R
HK6,NO,14/12/2012 00:00,65.1,ug m-3,R
HK6,NO,15/12/2012 00:00,47.5,ug m-3,R
HK6,NO,16/12/2012 00:00,37.2,ug m-3,R
HK6,NO,17/12/2012 00:00,69.5,ug m-3,R
HK6,NO,18/12/2012 00:00,92.6,ug m-3,R
HK6,NO,19/12/2012 00:00,98.7,ug m-3,R
HK6,NO,20/12/2012 00:00,71.1,ug m-3,R
HK6,NO,21/12/2012 00:00,95.4,ug m-3,R
HK6,NO,22/12/2012 00:00,43.1,ug m-3,R
HK6,NO,23/12/2012 00:00,27.4,ug m-3,R
HK6,NO,24/12/2012 00:00,22.9,ug m-3,R
HK6,NO,25/12/2012 00:00,13.3,ug m-3,R
HK6,NO,26/12/2012 00:00,19,ug m-3,R
HK6,NO,27/12/2012 00:00,49.8,ug m-3,R
HK6,NO,28/12/2012 00:00,30,ug m-3,R
HK6,NO,29/12/2012 00:00,18.2,ug m-3,R
HK6,NO,30/12/2012 00:00,19,ug m-3,R
HK6,NO,31/12/2012 00:00,20.2,ug m-3,R
HK6,NO,01/01/2013 00:00,54.8,ug m-3,R
HK6,NO,02/01/2013 00:00,62.6,ug m-3,R
HK6,NO,03/01/2013 00:00,64.4,ug m-3,R
HK6,NO,04/01/2013 00:00,77.6,ug m-3,R
HK6,NO,05/01/2013 00:00,61.7,ug m-3,R
HK6,NO,06/01/2013 00:00,52.3,ug m-3,R
HK6,NO,07/01/2013 00:00,56.9,ug m-3,R
HK6,NO,08/01/2013 00:00,44.9,ug m-3,R
HK6,NO,09/01/2013 00:00,60.9,ug m-3,R
HK6,NO,10/01/2013 00:00,143.5,ug m-3,R
HK6,NO,11/01/2013 00:00,133.60001,ug m-3,R
HK6,NO,12/01/2013 00:00,46.3,ug m-3,R
HK6,NO,13/01/2013 00:00,27.3,ug m-3,R
HK6,NO,14/01/2013 00:00,85.1,ug m-3,R
HK6,NO,15/01/2013 00:00,51.6,ug m-3,R
HK6,NO,16/01/2013 00:00,107.1,ug m-3,R
HK6,NO,17/01/2013 00:00,190.10001,ug m-3,R
HK6,NO,18/01/2013 00:00,47.2,ug m-3,R
HK6,NO,19/01/2013 00:00,35.6,ug m-3,R
HK6,NO,20/01/2013 00:00,22.9,ug m-3,R
HK6,NO,21/01/2013 00:00,98.5,ug m-3,R
HK6,NO,22/01/2013 00:00,109.4,ug m-3,R
HK6,NO,23/01/2013 00:00,64.6,ug m-3,R
HK6,NO,24/01/2013 00:00,67,ug m-3,R
HK6,NO,25/01/2013 00:00,77.2,ug m-3,R
HK6,NO,26/01/2013 00:00,66.2,ug m-3,R
HK6,NO,27/01/2013 00:00,26.1,ug m-3,R
HK6,NO,28/01/2013 00:00,45.9,ug m-3,R
HK6,NO,29/01/2013 00:00,38.7,ug m-3,R
HK6,NO,30/01/2013 00:00,52.1,ug m-3,R
HK6,NO,31/01/2013 00:00,51.5,ug m-3,R
HK6,NO,01/02/2013 00:00,93.7,ug m-3,R
HK6,NO,02/02/2013 00:00,40.9,ug m-3,R
HK6,NO,03/02/2013 00:00,67.3,ug m-3,R
HK6,NO,04/02/2013 00:00,51.5,ug m-3,R
HK6,NO,05/02/2013 00:00,60.3,ug m-3,R
HK6,NO,06/02/2013 00:00,28.4,ug m-3,R
HK6,NO,07/02/2013 00:00,91.8,ug m-3,R
HK6,NO,08/02/2013 00:00,89,ug m-3,R
HK6,NO,09/02/2013 00:00,70.8,ug m-3,R
HK6,NO,10/02/2013 00:00,26.7,ug m-3,R
HK6,NO,11/02/2013 00:00,42,ug m-3,R
HK6,NO,12/02/2013 00:00,49.5,ug m-3,R
HK6,NO,13/02/2013 00:00,51.9,ug m-3,R
HK6,NO,14/02/2013 00:00,99.7,ug m-3,R
HK6,NO,15/02/2013 00:00,116,ug m-3,R
HK6,NO,16/02/2013 00:00,91.7,ug m-3,R
HK6,NO,17/02/2013 00:00,71.1,ug m-3,R
HK6,NO,18/02/2013 00:00,90.1,ug m-3,R
HK6,NO,19/02/2013 00:00,182.2,ug m-3,R
HK6,NO,20/02/2013 00:00,59.3,ug m-3,R
HK6,NO,21/02/2013 00:00,56.5,ug m-3,R
HK6,NO,22/02/2013 00:00,50.9,ug m-3,R
HK6,NO,23/02/2013 00:00,25.8,ug m-3,R
HK6,NO,24/02/2013 00:00,13.7,ug m-3,R
HK6,NO,25/02/2013 00:00,18.1,ug m-3,R
HK6,NO,26/02/2013 00:00,49.7,ug m-3,R
HK6,NO,27/02/2013 00:00,42.6,ug m-3,R
HK6,NO,28/02/2013 00:00,50.3,ug m-3,R
HK6,NO,01/03/2013 00:00,44.2,ug m-3,R
HK6,NO,02/03/2013 00:00,38.2,ug m-3,R
HK6,NO,03/03/2013 00:00,65.2,ug m-3,R
HK6,NO,04/03/2013 00:00,60.2,ug m-3,R
HK6,NO,05/03/2013 00:00,125.1,ug m-3,R
HK6,NO,06/03/2013 00:00,113.8,ug m-3,R
HK6,NO,07/03/2013 00:00,130.5,ug m-3,R
HK6,NO,08/03/2013 00:00,89.5,ug m-3,R
HK6,NO,09/03/2013 00:00,34.3,ug m-3,R
HK6,NO,10/03/2013 00:00,19.2,ug m-3,R
HK6,NO,11/03/2013 00:00,25.2,ug m-3,R
HK6,NO,12/03/2013 00:00,25.9,ug m-3,R
HK6,NO,13/03/2013 00:00,37.1,ug m-3,R
HK6,NO,14/03/2013 00:00,82,ug m-3,R
HK6,NO,15/03/2013 00:00,43.1,ug m-3,R
HK6,NO,16/03/2013 00:00,24.1,ug m-3,R
HK6,NO,17/03/2013 00:00,36.6,ug m-3,R
HK6,NO,18/03/2013 00:00,85.1,ug m-3,R
HK6,NO,19/03/2013 00:00,66.6,ug m-3,R
HK6,NO,20/03/2013 00:00,53,ug m-3,R
HK6,NO,21/03/2013 00:00,48.1,ug m-3,R
HK6,NO,22/03/2013 00:00,32,ug m-3,R
HK6,NO,23/03/2013 00:00,37.5,ug m-3,R
HK6,NO,24/03/2013 00:00,31.2,ug m-3,R
HK6,NO,25/03/2013 00:00,40.9,ug m-3,R
HK6,NO,26/03/2013 00:00,44.6,ug m-3,R
HK6,NO,27/03/2013 00:00,50.8,ug m-3,R
HK6,NO,28/03/2013 00:00,45.2,ug m-3,R
HK6,NO,29/03/2013 00:00,29.7,ug m-3,R
HK6,NO,30/03/2013 00:00,26.3,ug m-3,R
HK6,NO,31/03/2013 00:00,27,ug m-3,R
HK6,NO,01/04/2013 00:00,19.9,ug m-3,R
HK6,NO,02/04/2013 00:00,35,ug m-3,R
HK6,NO,03/04/2013 00:00,32.3,ug m-3,R
HK6,NO,04/04/2013 00:00,30.5,ug m-3,R
HK6,NO,05/04/2013 00:00,30.4,ug m-3,R
HK6,NO,06/04/2013 00:00,30,ug m-3,R
HK6,NO,07/04/2013 00:00,36.7,ug m-3,R
HK6,NO,08/04/2013 00:00,40.5,ug m-3,R
HK6,NO,09/04/2013 00:00,59.7,ug m-3,R
