Date,Start hour,Casual hires at terminal
19/02/2012,2,91
19/02/2012,3,58
19/02/2012,4,50
19/02/2012,5,14
19/02/2012,6,14
19/02/2012,7,32
19/02/2012,8,78
19/02/2012,9,115
19/02/2012,10,251
19/02/2012,11,497
19/02/2012,12,645
19/02/2012,13,671
19/02/2012,14,816
19/02/2012,15,727
19/02/2012,16,610
19/02/2012,17,474
19/02/2012,18,257
19/02/2012,19,159
19/02/2012,20,116
19/02/2012,21,91
19/02/2012,22,87
19/02/2012,23,52
20/02/2012,0,42
20/02/2012,1,9
20/02/2012,2,7
20/02/2012,3,5
20/02/2012,4,10
20/02/2012,5,16
20/02/2012,6,37
20/02/2012,7,100
20/02/2012,8,262
20/02/2012,9,186
20/02/2012,10,151
20/02/2012,11,161
20/02/2012,12,216
20/02/2012,13,216
20/02/2012,14,247
20/02/2012,15,281
20/02/2012,16,257
20/02/2012,17,268
20/02/2012,18,281
20/02/2012,19,175
20/02/2012,20,132
20/02/2012,21,90
20/02/2012,22,82
20/02/2012,23,50
21/02/2012,0,38
21/02/2012,1,25
21/02/2012,2,13
21/02/2012,3,9
21/02/2012,4,7
21/02/2012,5,11
21/02/2012,6,33
21/02/2012,7,122
21/02/2012,8,298
21/02/2012,9,224
21/02/2012,10,173
21/02/2012,11,166
21/02/2012,12,254
21/02/2012,13,219
21/02/2012,14,228
21/02/2012,15,263
21/02/2012,16,305
21/02/2012,17,372
21/02/2012,18,343
21/02/2012,19,217
21/02/2012,20,159
21/02/2012,21,123
21/02/2012,22,84
21/02/2012,23,96
22/02/2012,0,49
22/02/2012,1,31
22/02/2012,2,23
22/02/2012,3,11
22/02/2012,4,6
22/02/2012,5,16
22/02/2012,6,43
22/02/2012,7,127
22/02/2012,8,295
22/02/2012,9,211
22/02/2012,10,169
22/02/2012,11,185
22/02/2012,12,180
22/02/2012,13,76
22/02/2012,14,120
22/02/2012,15,137
