Date,Start hour,Annual member hires using a key
31/01/2012,1,4
31/01/2012,2,1
31/01/2012,3,3
31/01/2012,4,1
31/01/2012,5,22
31/01/2012,6,154
31/01/2012,7,619
31/01/2012,8,1149
31/01/2012,9,443
31/01/2012,10,152
31/01/2012,11,104
31/01/2012,12,172
31/01/2012,13,174
31/01/2012,14,150
31/01/2012,15,163
31/01/2012,16,324
31/01/2012,17,828
31/01/2012,18,639
31/01/2012,19,317
31/01/2012,20,164
31/01/2012,21,128
31/01/2012,22,61
31/01/2012,23,32
01/02/2012,0,18
01/02/2012,1,5
01/02/2012,3,3
01/02/2012,4,3
01/02/2012,5,14
01/02/2012,6,168
01/02/2012,7,628
01/02/2012,8,1125
01/02/2012,9,423
01/02/2012,10,181
01/02/2012,11,134
01/02/2012,12,234
01/02/2012,13,209
01/02/2012,14,161
01/02/2012,15,173
01/02/2012,16,323
01/02/2012,17,771
01/02/2012,18,685
01/02/2012,19,308
01/02/2012,20,164
01/02/2012,21,119
01/02/2012,22,60
01/02/2012,23,33
02/02/2012,0,10
02/02/2012,1,4
02/02/2012,2,2
02/02/2012,3,2
02/02/2012,4,2
02/02/2012,5,15
02/02/2012,6,154
02/02/2012,7,560
02/02/2012,8,1027
02/02/2012,9,400
02/02/2012,10,163
02/02/2012,11,148
02/02/2012,12,210
02/02/2012,13,201
02/02/2012,14,182
02/02/2012,15,183
02/02/2012,16,295
02/02/2012,17,685
02/02/2012,18,597
02/02/2012,19,290
02/02/2012,20,142
02/02/2012,21,99
02/02/2012,22,61
02/02/2012,23,51
03/02/2012,0,19
03/02/2012,1,9
03/02/2012,2,4
03/02/2012,3,3
03/02/2012,4,3
03/02/2012,5,13
03/02/2012,6,128
03/02/2012,7,454
03/02/2012,8,937
03/02/2012,9,404
03/02/2012,10,169
03/02/2012,11,132
03/02/2012,12,209
03/02/2012,13,209
03/02/2012,14,190
03/02/2012,15,179
03/02/2012,16,343
03/02/2012,17,714
03/02/2012,18,490
03/02/2012,19,239
03/02/2012,20,135
03/02/2012,21,67
03/02/2012,22,55
03/02/2012,23,56
04/02/2012,0,38
04/02/2012,1,18
04/02/2012,2,16
04/02/2012,3,13
04/02/2012,4,5
04/02/2012,5,8
04/02/2012,6,14
04/02/2012,7,28
04/02/2012,8,57
04/02/2012,9,91
04/02/2012,10,128
04/02/2012,11,193
04/02/2012,12,169
04/02/2012,13,177
