Ozone,NO,NO2,NOX,SO2,PM10,NV_PM10,V_PM10,PM2.5,NV_PM2.5,V_PM2.5
103,3,56,60,6,36,34,8,18,16,6
75,47,104,176,5,30,23,8,23,18,6
43,53,87,168,5,36,32,7,21,17,5
38,66,87,183,5,27,22,5,22,20,5
65,52,108,173,5,35,28,7,29,25,4
35,42,66,118,4,23,21,7,17,17,4
54,35,63,109,6,30,30,6,13,11,3
53,38,59,117,6,34,30,7,16,14,6
47,54,69,146,6,33,28,6,10,9,4
49,43,76,123,5,29,29,9,16,13,4
46,33,69,109,5,32,29,6,15,11,4
39,43,75,135,5,19,17,8,11,11,3
50,22,38,69,7,14,10,5,11,8,4
55,27,34,74,5,10,7,4,9,7,3
71,47,68,139,5,15,11,6,12,10,4
48,51,83,161,8,22,21,8,22,18,4
38,10,36,49,4,14,12,6,10,8,4
50,9,42,50,7,16,10,7,10,8,3
55,10,51,59,6,20,14,9,11,10,4
53,7,32,44,2,24,30,7,9,10,4
60,14,67,88,3,28,29,5,18,18,2
53,62,90,183,8,27,23,7,16,13,4
43,49,81,149,8,30,26,8,32,27,6
51,78,95,184,5,42,33,11,48,37,12
52,34,86,137,7,44,32,14,54,41,16
54,17,66,92,4,21,17,8,24,20,6
53,5,24,31,3,13,10,7,10,8,6
45,19,45,74,5,10,10,4,8,7,2
37,65,70,163,7,16,12,7,9,8,2
34,44,88,132,13,18,13,6,14,12,2
54,82,91,216,8,22,19,6,20,20,4
40,46,61,131,5,16,13,9,19,16,6
25,50,51,117,10,17,14,6,12,11,5
58,39,83,106,9,15,14,8,10,10,4
46,14,48,68,8,20,18,7,16,15,5
55,22,57,88,10,15,12,7,25,23,4
43,25,57,93,9,19,13,7,17,15,4
32,50,54,126,15,11,10,6,8,8,3
33,47,66,137,15,26,25,5,11,10,4
52,31,60,98,18,24,22,6,17,15,4
108,24,89,107,21,41,40,9,52,39,14
119,23,74,92,16,,,,54,39,16
79,40,71,132,11,,,,20,17,8
58,40,71,110,4,58,56,7,13,10,4
46,31,68,113,4,30,29,10,17,15,4
61,35,73,126,7,31,31,7,10,9,5
54,40,94,141,9,19,16,8,30,24,6
104,65,94,178,,,,,,,
84,36,90,145,,,,,30,28,7
63,46,93,153,,,,,21,17,6
103,79,138,227,,,,,30,30,5
103,33,90,136,,,,,23,24,5
58,26,66,95,,,,,20,17,4
59,23,51,80,,25,22,7,15,15,3
50,17,26,51,,21,19,6,12,11,3
73,8,51,55,,48,43,10,41,32,10
135,44,72,137,,,,,,,
96,35,89,142,,,,,,,
62,36,45,101,,35,31,9,11,11,3
52,28,39,83,,,,,15,14,3
76,26,53,90,,41,40,6,10,11,3
85,58,65,152,,35,31,8,22,19,6
58,3,24,27,,,,,,,
54,7,21,27,,,,,8,9,2
39,24,47,83,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
61,4,23,26,,,,,,,
59,2,30,32,,,,,,,
57,20,58,82,,,,,,,
46,34,81,131,,26,26,5,17,16,2
48,35,73,109,,42,44,7,,,
84,75,80,194,,36,32,7,,,
60,76,86,202,,27,21,6,13,11,4
65,17,66,89,,21,17,6,10,10,3
63,16,46,62,,20,17,5,12,9,4
41,55,66,150,,41,36,5,7,8,3
40,40,54,111,,22,23,6,12,11,3
47,62,57,143,,26,25,6,14,14,3
33,17,30,46,,24,20,7,12,9,3
28,19,38,56,,24,22,8,14,14,3
44,12,32,43,,26,22,8,13,10,4
45,14,46,54,,21,18,6,7,8,1
51,50,58,135,,26,26,5,8,9,1
,,,,,,,,,,
,,,,,,,,,,
11,65,61,156,3,,,,19,16,4
111,52,115,135,9,85,67,21,69,55,17
62,40,69,130,4,89,72,25,81,58,24
86,42,93,157,3,41,38,7,36,30,6
78,25,69,84,2,40,33,8,31,25,6
51,70,95,203,3,24,24,7,17,14,6
70,57,101,188,4,,,,23,21,6
56,31,83,99,4,,,,27,27,3
55,14,37,57,2,,,,8,6,2
42,32,67,109,3,23,25,2,12,11,2
53,12,42,51,2,20,16,4,11,9,4
40,61,64,151,3,14,15,4,9,8,3
38,168,96,350,7,40,41,2,25,24,3
80,133,110,286,14,64,57,12,52,40,12
75,136,154,306,6,75,58,17,65,50,17
36,55,60,140,4,31,29,6,22,19,6
56,15,58,66,1,11,11,2,10,9,2
50,8,67,78,4,10,9,3,8,7,2
23,138,85,292,8,30,30,2,17,16,3
24,66,67,164,7,18,18,5,15,15,4
31,58,60,148,9,13,12,3,12,11,2
13,69,55,160,8,19,18,3,18,15,4
13,102,63,201,3,17,15,3,15,12,4
47,39,58,115,2,20,18,3,14,13,2
43,63,67,160,4,21,20,5,18,15,5
47,53,64,141,3,15,13,3,11,9,3
27,117,86,255,8,24,23,4,16,14,3
30,79,78,183,7,16,15,2,15,13,3
32,48,73,136,3,20,17,5,11,11,4
26,74,82,196,4,23,22,0,18,18,2
28,33,62,111,4,26,26,2,19,18,2
20,46,51,121,3,19,18,2,17,17,3
16,54,65,129,7,28,24,5,23,19,6
15,160,85,308,7,70,55,14,60,46,16
25,80,99,196,8,79,62,19,69,51,20
34,37,66,103,4,64,49,19,61,42,19
32,111,62,233,9,36,31,8,26,20,7
35,55,60,137,7,40,32,11,33,23,12
37,20,46,74,5,32,28,5,21,19,4
42,90,59,193,11,39,36,7,30,24,6
13,100,80,225,13,57,49,10,39,33,9
25,83,65,186,12,40,37,6,32,28,6
4,127,66,261,8,46,38,8,30,24,7
45,9,57,70,4,18,17,5,13,11,4
21,57,73,155,2,18,15,4,14,13,3
59,77,76,177,5,24,22,3,21,20,4
43,15,69,83,4,21,18,4,18,15,4
28,20,65,90,1,14,13,5,12,10,4
39,40,70,122,2,16,14,7,11,8,4
42,38,71,125,3,20,19,4,9,8,4
42,59,75,164,3,24,21,4,15,15,3
40,82,97,210,5,35,31,5,29,26,4
25,23,78,102,3,19,15,7,18,15,6
26,37,62,111,4,18,15,5,14,11,4
15,72,74,180,5,28,26,7,22,19,6
